question_description,Classes,Tag1,Tag2
what is precautions for safety?,General Problems,precautions,precautions
How to clean teeth as bright white from yellow teeth,Dental,yellow,teeth
what type of foods  eat dyate time ?,Diet and Food,food,eat
what is good diet....................,Diet and Food,diet,diet
How to prevent yellowish of teeth ?,Dental,yellowish,teeth
How to clear your throat ? and How to prevent bad breath ?,"Ear, Nose and Throat",throat,breath
how to clean face of darkcircle,Skin,face,face
my teeth how are cleaning view the house to ,Dental,teeth,teeth
what is the treatment for knee pain,Body Pain,knee,pain
how can i clen my yellow teeth,Dental,yellow,teeth
what type of food we take in diet ?,Diet and Food,food,diet
Why are my head in pain all time?? ,Headache,head,pain
"Doctor why are weakness my body? 
",Stress and Anxiety,weakness,weakness
what is the best way to gain mass,Weight Gain,gain,mass
How to reduce gastric problem? ,"Stomach, Kidney and Liver",gastric,gastric
How I can growth up my body Plz tell me sir ?,gym,body,body
heavly hair fall ??? how to stop it,Hair Treatment,hair,fall
inragoral period in one month two time why? please tell me.,Sexual Problem,period,period
how can teeth problem solar pls tell me,Dental,teeth,teeth
I am feeling highly acidic at the morning time...please solve my problem...,"Stomach, Kidney and Liver",acidic,acidic
dear sir stretch body mark remover ka koi medicine batai jo stretch body mark remove kar de ,General Problems,medicine,medicine
how can teeth problem Slovenia?,Dental,teeth,teeth
How to get stamina for play sports ,Gym,stamina,stamina
is it possible to ejaculate sperm when the person is dead?,Sexual Problem,ejaculate,sperm
what are the causes of snoring and how to avoid it,General Problems,snorinng,snoring
how can i brush in a day? please tell me sir,Dental,brush,brush
concer se kaise bachav karein? ,Critical,cancer,cancer
how can eat toh grow my blood? ,Blood Related,blood,blood
hair fall se kaise bachav karein? ,Hair Treatment,hair,fall
how to get thick hair on forehead,Hair Treatment,hair,hair
i m nitish singh and i have problem in gaining body i m very slim soo what should be my diet to gain body quickly,,,
How to solved problem from cold,,,
How to remove acne scars....... pls tell me,,,
how to prevent oily skin and acne marks from face?,,,
Sir my noise is beliding  what I do,,,
how to get rid of acne marks and scars?,,,
"How to increase eye sight 
Which foods are good for eye",,,
What should be done if you are free from cold?,,,
how to increase the pleassure in sex,,,
how to week up early in morning?,,,
"hello. 
I have itching and inflammatory problem in nearer skin of private part. 
I used fluconazole as tablet and clobetnosol as tube. but can't get rid of this problem. 
pls give me some useful solution",,,
how to increase pleasure in sex?,,,
"I feel some noise like a siren in my right ear
",,,
"i always feel tired while doing anything ,how to get rid of this situation.",,,
how can i increase my body growth ?,,,
"Allergies to pets with fur are common, especially among people who have other allergies or asthma. In the United States, as many as three in 10 people with allergies have allergic reactions to cats and dogs. Cat allergies are about twice as common as dog allergies.",,,
what to eAt to reduce belly fat,,,
how to increase my body ? because I m so weak?,,,
"How I  can increase my height? 
",,,
"hello...

please let me know food that has to be taken after pregnancy",,,
healt not growing untill i am 21 years ,,,
"how to decrease my body? ,because I'm fat",,,
I'm now 19..how can I increase my height? ,,,
how to get rid of fever fastly?,,,
how to increase  counts of sperm? ,,,
how to  gain weight in one month??,,,
how can teeth problem solution?,,,
what to do to increase stamina to play cricket?,,,
How to reduce Hip Size and Reduce Weight ,,,
how to remove pimples from the face,,,
"I am having a serious frontal hair fall, please help",,,
how to oil clean from the face,,,
how can teeth problem Slovenia?,,,
I have suffering with dondroap please solve me?,,,
are sugar free cubes good for diabetics?,,,
"I want to get my hight 3-4 more, how it's possible? ",,,
 what are the antibiotics for good health,,,
how to remove pimples from face,,,
What is the easy way to lose fat ?,,,
how can control blood pressure ,,,
"who to wake un in the morning
",,,
how to control blood pressure?,,,
how to wake up early in morning ?,,,
How much a men should masturbate in a month ?,,,
How to control masturbation for men ?,,,
"pain in my chest left side it is 
any disease or no?",,,
"how to control blood pressure?
",,,
how to wake up early in morning?,,,
how can control high blood pressure? ???,,,
how can control tha blood pressure,,,
meri fat tummy h koi solution btaye plz,,,
I am at age15  6 hours sleep is enough for me ,,,
full dandruff problem please solve my problem I am men,,,
how reduce  darkness from the face ,,,
inragural period in one month two time why? pls tell me.,,,
how can control the blood pressure.,,,
how to reduce weight within 1 month?,,,
Hai I am suffering from scalp pain i.e. hair roots...can you suggest me the remedy?,,,
my weight is increasing from 5month how to decrease my weight,,,
"how can i remove black mark's from my face
",,,
how many time work in fitness centre ,,,
How to change stitches of an injury on arm ,,,
how can i get fairer?any tips? ,,,
what is happening here no reply why...,,,
hi now I want some help for perfect health,,,
how backup from fever .I'm I'll some time,,,
my hair is falling continuely for 3 months what can i do to prevent hairfall,,,
my hair is falling continuely for 3 months what can i do to prevent hairfall,,,
"how to decrease fat in our body?
",,,
How can I increase my weight without getting fat?,,,
Which medicine is for stomach pain,,,
What to do to prevent hair loss ,,,
How can i get rid of negative thinking?,,,
How to control teeth problem???? ,,,
how to loose belly fat at home,,,
which medicine to use control vomitting,,,
I have some round spot in my pennis. they creates an uneven surface and leads to itching. What Is it? why are they caused? What are the remedies?,,,
I have skin itching problem.how cal I overcome it?,,,
how can i stop my depression ?,,,
"how can i stop my depression?
",,,
how will solve my  mind problem,,,
"may I know the reason for hair loss
and
can I get the suggestion for treatment",,,
"what is the best way to maintain my weight?
",,,
I am ill from five days please tell me some medicine ,,,
is anyway to cure mouth Ulcer? ,,,
is Viagra really work or not for a male person...?,,,
how can we maintain our body six-pack,,,
I am suffering with gas trouble,,,
my hairs are getting white what can i dp for it,,,
i am a boy... but I feel comfortable with female dresses though I am not gay... I am interested in women only.. so how can I solve this problem??.... also suggest me some tips that I can avoid  habits of ladies clothing.. ,,,
vericose vein ka koi solution h to batana please,,,
how can we maintain our body properly?,,,
how many times take water in a day,,,
pimples ka koi solution hai kya,,,
mere baal khir rhe hai koi solution hai kya,,,
"I have pain in back and neck 
sujest me a tablet",,,
how can I remove any type of black mark from my face?,,,
mujhe bahut cough syrup ki problem hai,,,
what is the best treatment for white and strong clean teeth? ????,,,
How is loss weight in 1 month? ,,,
how can i prevent pimples on my face ?,,,
what can i do for preventing myself from speedy hairfall??,,,
how to loose my weight .. plzz help me...i am so much woried about that matter...,,,
how to loose my weight .. plzz help me...i am so much woried about that matter,,,
how to loose my weight .. plzz help me...i am so much woried about that matter,,,
how can I get off from my legs muscles pain,,,
what's the easiest way to lose weight? ,,,
which food increase the weight,,,
what type work out increase the body weight?,,,
inragoral period in one month two time why? ,,,
how can i increase my sex staimina?,,,
How to weight gain in 2 months and build muscle?,,,
what are the step for beeing helthy ???,,,
"how can we get rid of pimples
",,,
how to remove pimpals on my face ,,,
inragoral period in one month two time why?pls tell me.,,,
I have a very small hole on my back above the ass hole what should I do now.,,,
What would take precaution if anyone suffer from cold ,,,
"what is normal bp of human being
",,,
now my penis size is 7 inches but i want to increase my penis at least 9 inches is it possible...?,,,
which food is best for our health,,,
"how to gain daily protein without using powder?
",,,
"doctor i am suffering from tuberclosis. please suggest me healthy food habits for quick recovery
",,,
any proper medicine for scabies,,,
how can we get more weight by eating such food or we have to take desired powders??,,,
What we have to do to fit our body without heavy food? ,,,
What we can do for mind cool during exam time? ,,,
what we should do for long life?,,,
Which food is best for our health?,,,
how we can keep our body in good position.,,,
"what food items we have to eat.
to get our body fit",,,
how to be fit and fine?? how to get bulky body,,,
how weight gain my 1year old boy,,,
How can I improve my body as fit? ,,,
how to gain weight by doing exercises and diet?,,,
what to do first when an accident?,,,
how to get rid of eye puffiness please tell some medicine and tablets and which vitamin are perfect for eyes,,,
How to stop smoking and become healthy. ,,,
What is the best food habit to be opted by a person suffering from hypertension ,,,
no perod in three manth why? ple tell me,,,
inragoral perod in one manth two time why?,,,
suggest an easy way to build my body as beast,,,
how can in one month two time period pls tell me?,,,
inragoral period in one month two time why?,,,
"how to gain wieght in kilogram
",,,
what we do to relax from stress,,,
what is cure for blood cancer ?,,,
how to control fever please tell me homemade????,,,
how to control diabetes plz tell ?,,,
How to gain weight in kilograms,,,
"what food given 1year baby
what is the breakfast for 40year old woman",,,
what is mean bybody mass index?,,,
what is the way to gain weight? ,,,
How can i get rid of smoking habbit anu suggestions?,,,
"how to maintain liver condition?
",,,
how I can gain the weight of I am doing exercise daily,,,
what is symptom of dengue?what is its treatment?,,,
how to grow some body waight plz give some sugeation,,,
inragoral period in one month two time why?,,,
sex time kaise badhaye koi upaye bataye,,,
inragoral period in one month two time why?,,,
how to get rid of bad breath after quitting smoking,,,
"I have not tall,so increase my height?",,,
how I lose my weight.pls help me,,,
My weight is 52. If I have to do gain 60 kg then what kind of healthy food should I eat?,,,
How to Lose Belly Fat Naturally ?,,,
how to reduce belly fat in a week,,,
Ham apni body ko Kya Kya nutrition provides karaye,,,
inragoral period in one month two time why?,,,
how much amount of protein/weight is required to built body muscles?,,,
I am suffering from malaria what can I do,,,
what is the reason behind folliculities? and how to resolve but acne?,,,
what is the solution for hair loss,,,
meditation is good or bad ? and why?,,,
my bp lows sometimes....how can i avoid that?,,,
"how can I clean yellow teeth?
",,,
how I can clean yellow teeth ?,,,
want to lose weight tell me some tips please,,,
sir tell me how may i cut my stomach fat,,,
what are best yogasanas to do at home for fitness??,,,
How can i loss weight easily in home ,,,
how long i will run for the first time ,,,
integral period in one month two time why?,,,
What is the best treatment for DIABETES? ,,,
which is the best treatment for hair loss at home?,,,
coffee is good for health or not,,,
What is the best treatment for cancer?,,,
in one month two time peroad why ?,,,
how to remove stress from irritating ideas?,,,
my tooth keeps on paining frequently when I consume food ,,,
weight loose fast wht type of diet,,,
in one month two time period why?,,,
inragoral period in one month two time why?,,,
What is the reason for the headache ,,,
hair problem please give solution,,,
why in one manth two time peroad?,,,
I am inragoral peroad in one manth two time why?,,,
what should be the weight of a 6feet guy,,,
my mother has glaucoma in her eyes what is the best treatment.,,,
what are the reasons for hair fall,,,
What amount of exposer of x-rays can lead to DNA damages in human beings,,,
which problem solve to headache,,,
what are the reasons for hair fall,,,
"what is the reason for localised head hair fall.. called "" CHAEE "" in hindi.. and how to prevent fall..",,,
do anyone tell me how do I Improve my breathe.... I can't breath so well... I mean my breathing is like asthma patients.... please answer me,,,
i wanna weight gain plz tell me how can i do it...?,,,
"how can I weight gain anyone can tell me what is the simple way...?
",,,
perfect weight for 20 years old girl?,,,
What to do to be healthy & Fit ,,,
iam thin how can I become fat? ,,,
i have a back pain so can you please tell me how to get rid of back pain,,,
"which type of food will be good for a sick person
",,,
I have too much of dandruff how to get rid of it ,,,
"how I can build up my body in gym

",,,
how will become in fat one month,,,
what is the fit body..and plz tell me how to wait lose of only 1month,,,
"what i have to do increase my fitness
",,,
How many births give a girl in their life time ,,,
"How to solve problem from cold
",,,
How to grow up height in one month ,,,
Why is my eye twitching ohmygahstop,,,
 sir how can i increase our body weight?,,,
"Is it possible to increase brain  power through yoga? 
",,,
why inragoral period in one month two time?,,,
how will I became fat in month or year,,,
why I am inragural period in one month two time?,,,
Which protein is in egg is it good for health,,,
How am i supposed to loose my weight 10 kg in a month.?,,,
How can i control my hair fall?,,,
How to solve problem for dandruff???,,,
how to solve open proses problem? ,,,
how to solve pimples problem? ,,,
"i have the acetic problem ,,what is the best solution for it",,,
"hair is falling water is reson
",,,
what are the symptoms of piles ?,,,
what is the basic reason of loss of hair?,,,
what type of food is best in winter season ?,,,
how inguinal hernia causes to aperson,,,
how do coffee help people from headache?,,,
where are best cancer doctor? ,,,
how can I stop doing sm o??ne ,,,
Cause of high fever. Plz tell the vsuse,,,
"my age is 18 years, and my memory power is less. how can I improve my memory power?",,,
"my age is 18 years, and my memory power is less. how can I improve my memory power",,,
sir plz give me solution for dark spots,,,
inragoral period in one month two time why?,,,
which food taken for diabetes?,,,
mai thoda mota hona chahta hu sir mujhe kya krna chahiye ?,,,
why iragoral period in one month two time?,,,
What is the reason of excessive sweating?,,,
"How can we stay fit?without proper nutrition?
",,,
"what is major problem of hair fall?
",,,
"dogs are good or not please tell me? 
",,,
what is the health  develop is vegetables,,,
What is health plan for sugar patient ,,,
What is health plan for heart patient ,,,
"how to decreased diliyeases?

",,,
What is liver hemangoimas Any problmes come,,,
I have hair fall problem.p lease solve,,,
"what is the treat of gastric 

",,,
how i can become fat I am thin I want to make good personality ,,,
"due to cold in this season 
urine is coming frequently !so give me any advice ? to reduce it!",,,
how to stop my hair fall due to dandruff ??,,,
"I have headache for 5 days continously which type of pills are good, i am using paracetamol for past week",,,
what is the causes of shin splints problems ?,,,
how to solve shin splints problem? ,,,
I am thin and how can I become fat and healthier,,,
My daughter is suffering from cold and cough. What home remedy i should use ???,,,
my cough and cold is not curing now.. what can i do,,,
I want to fit body nd strong.. to how can fit body,,,
I am going to gym and now i am having pain too much is it normal? Or not,,,
some ellergy in my pelvic organs. should I do ,,,
How to recover from diabetes?? ,,,
"I have hairloss problem, how I will stop this and start growth of my hairs ",,,
I have hairfall problem suggest me it's solution ,,,
"I am having less bleeding during my periods.what shld I do?
",,,
my weight is gaining very fast. im 29 but my weight is appox. 100kg. please suggest something,,,
why one manth two time period?,,,
 I have Hairfall problem so please give me solution? ,,,
    I am inragoral perod in one month two time,,,
my obesity is increasing continually ,,,
what can I do to increase my concentration,,,
I am inragolar period.in one month two time,,,
I am very slim. Please give advice to how to increase the weight ? ,,,
Whenever i focus on my books. It starts pain in my head. What is its cause,,,
"how to make sharp ???? without plastic surgery 
",,,
i Work Hard But Full sterss what i do sir?,,,
I WANT TO GAIN WEIGHT BUT I AM NOT ABLE TO GET WEIGHT ?,,,
dandraff treatment solutions please,,,
I am 18 male.... and I am 6.1 ft tall.....I want to have good physic.... what food should I have as food daily,,,
"How to drop weight in one month? 
",,,
how i remove hair of the chick? ,,,
"how to avoid hairfall? please tell
",,,
How to reduce stuttering/stammering? ,,,
Teeth Whitening - Know more sir,,,
how to stop front hair falling,,,
"how to reduce our fat in stomach?
",,,
sir hair transpalnt is like to be natural..,,,
sir i want to ask that some possible cases for   colour vision in eye .  for medical fitness?,,,
how can I loose my extra fat??????,,,
"how can I loose my Bally fat?
",,,
how to make our body fit along with food...,,,
how can I recover my back pain ,,,
how to get rid of pimples without any marks left on face?,,,
how can i gain my weight in 10-20 days???,,,
bachpan me jyada masterbation karne s koi prob hoti h kya,,,
have you give blood donation? ,,,
how to increase the power of eyes from -2 to 6/6 in 3 to 6months?,,,
how degrees stone size fastly? ,,,
Is there any feasible solution for hair fall (checking receeding hairline) without going for transplant?,,,
what is a process of removing pimples?,,,
how to get six packs in 1 week? ,,,
how to gain weight in six days? ,,,
What is the best medicine of gas?,,,
How Can I stop Greying of hair?! ,,,
what is malnutrition symptoms?,,,
"Can i repair my sunken eyes... As before... Have any treatment... Ibm student 22 years
",,,
how to be increase blood in our body?,,,
can anyone help me to gain weight,,,
what Is the healthy diet for gaining weight?,,,
will power yoga helps to reduce tummy fat? ,,,
what I can do for decrease pimples on my face?,,,
what can I do to stop greying of hair?,,,
HOW TO QUIT SMOKING ANG CHEWING PAN MASALA,,,
what's the name of my blood group?,,,
"how mach bp and temperature in bady
",,,
for stomach pain which tablaute I want to use plse tell,,,
sir jab mai sunlight mai jaata hoon toh mujhe chakkar aate hai aur mujhe kuch pata nahi chalta aur thodi hi der mai thick ho jaata hoon yeh only for sunlight mai hi hota hai ,,,
"widal :  O:1:320
             H:1:160
     A(H) :neg
     B(H):neg
my report sir. what is this plzz suggest....",,,
"i have got my blood tested.it says ""suggesting thyronormalcy"" what does it means?",,,
I want to remove the sun tan n I want to become white so what to do any suggestions please ,,,
I am not able to consentrate on my work,,,
how to get rid of extra fat on belly.,,,
I am getting my tummy fat increase.  How to get fat burn from tummy area! ,,,
How I can reduce my pimples and spots on my face ,,,
please suggest me to loose weight about 10 kg,,,
"Stomach burning, feels like fever from afternoon to night whats my problem?",,,
 i am suffering from  seviare headache while watching TV. i also using glass.please give advice &quick treatment. ,,,
"how to lose weight with homeopathic
",,,
my question is how to build a body like body builder ??,,,
Sir I am suffering breath problem since 6 month,,,
how to get rid of belly and arms fat fast?,,,
What type of food we have to take to grow weight? ,,,
How to growth my weight. Recently my weight is 52kgs-? ,,,
how can I recover from  cancer?,,,
Name the list of food which contains   fat?,,,
how to make abbs from exercise,,,
please help me to loss weight .... ,,,
How to get rid of pimples on face? ,,,
how to decrease the belly fat fast ??,,,
which food is healthy for 18 years kid?,,,
yoga aasana's to stay healthy ?,,,
how to lose 5kgs weight in a month,,,
I need the list of food which contains iron,,,
how to improve my health very soon,,,
"Im a 18 year old teen Underweight..
183 height and 46 kg weight ...
what should i do to gain more weight and health",,,
how can I get perfect body shape without going to gym?,,,
daily diet requirement to remain healthy,,,
"Hi this is ajay there is a big spot of burn on my face 
How can i clear it. Tell me about any cream. ",,,
"

 വയറിനു  പുകച്ചിലും ദഹിക്കാതിരിക്കുകയും ആകുന്നു",,,
Nutrient we shoud take daily to stay healthy,,,
hello i  m sandeep from bhopal my age 24 and my proble is related to my height my height is only 5 fit how can i grow up my heights,,,
can we get abs through exercise?,,,
there are some pain in my knee so I wants it's treatment quickly ,,,
Help me to reduce stomach belly?,,,
What is the sugar level of a normal adult person,,,
what to do for increase a height,,,
I am diabetic patient can I drink alcohol,,,
long time feaver and cold why ?,,,
why my skin becomes too reddish when someone hit me In normal,,,
How To Stay Healthy while you don't quit smoking? ,,,
I have a pain in my back..... What is the problem.... ,,,
what can do for pimples on face?,,,
i eat a lot but i am still skinny,,,
what diet should I have to fit?,,,
how to gain wt .I don't  gain wt.,,,
How do i stay healthy if i don't quit smoking? ,,,
how to increase height after 18 or above ,,,
How can we improve my growth. ,,,
how to get rid from black lashes from face,,,
I am diabetic patient so what type of food I have to strictly follow  ??,,,
" what's problem redness of eye
",,,
"getting headache suddenly while reading

",,,
my weight is low so can u help for this,,,
How to get rid of holes on face? ,,,
"I am gaining so much of weight. Now I weigh about 100kg., what should I do to lose weight??? ",,,
mujhe height badane me help kare,,,
how does mobile effect in daily life?,,,
what diet should I have to be fit?,,,
I am slim how can I become muscular,,,
"whenever I go out in sun,l will get rashes and itching on whole body. can anyone help me out??",,,
how can I get rid from ringworm surfaring from last 4-5 months what to do ?? plz help ,,,
"what is the causes of excessive sweat?

",,,
how to get rid of holes in face ,,,
"how to increase weight and what should be the daily routine for medication
",,,
how to increase height at the age of 18 or above?,,,
how ti jain? i am 45 kg only 22year,,,
 Skin Allergy more keen door kre,,,
what can I do to... to gain weight or be healthy,,,
how to take care of skin in summer season ?,,,
what character of high blood pressure,,,
to remove stress what yoga do ?,,,
"how we can increase my growth? 
",,,
what are the causes of getting weakness frequently,,,
how to get rid of itching and allergy,,,
how to get rid of itching and allergy on body,,,
How is swine flu dangerous to us?,,,
how to take care of eyes . as nowadays you know how everyone is always attatched to android screens ,,,
I have 5 years old baby but till am waiting for 2nd pregnancy what's the reason for infertility ,,,
what are the side effects of excess masterbation on our body as well as mind ?,,,
"i want to know something related to psychology , can stress and extra thinking reduce the growth of human body ?",,,
What are the side effects of omnacortil steriod? ,,,
What are the side effects of steriod medicine? ,,,
I'm very thin i want to gain my weight,,,
I have lots of bacne please suggest me something,,,
how we can get scareless skin?,,,
Is masturbation bad for health? ,,,
How to increase my height and how to loose my weight ,,,
what or the benefit of cycling,,,
what to do when heart attack comes?,,,
what to do when heart attack ?,,,
what are the benefits of cycling ?,,,
"my face in soo pimples...
how ti reduce pimples...?
",,,
How to remove dandruff from hair?,,,
how to strong body?how to height,,,
How can i control my hair fall,,,
how can i build muscle strong and fssy,,,
"how to reduce pimples some remidies
",,,
how to gain more weight with in 2 months,,,
how can i remove black spots on face,,,
how to keep away from allergy?,,,
where these disease come from how we stop this ,,,
how to lower the cholesterol around the stomach and waist,,,
I am getting itching  on my legs and it's like chicken skin pls suggest ,,,
my head very pain every time solution please,,,
how can I control my hair fall,,,
just above my eddv I have too much pain at both of the legs ,,,
why stomach pain more and more ,,,
"how to remove pimpuls on the face
",,,
"mere face par kuchh pimples ho rahe ha jo kabi samapat ho jate ha to or uth jate ha ,please give me your suggestion",,,
what food are good and perfect nutrition in Helth  ,,,
"my mustache like break and white color appear in single hair, kindly give solution",,,
how can my inragoral period  in one month two period? ,,,
"I want to quit smoking
what should i do
i do smoke onle beedis
please
if theres any alopathic
ALOPATHIC ONLY
Please do suggest",,,
How can I grow my beard at a faster pace ?,,,
"iam getting pain below my pennies bald..when I jump from 15 meters upstairs to down iam getting pain..I will do handjob daily.may I know my problem.


if we inject with injection,like that pain will occur..I need to stuck fr 2 mins to get relief from that pain",,,
Why the brain injury? When amad man ,,,
how can I gain weight I eat food properly after then don't gain weight,,,
how can I gain my weight ... I eat food properly after then  don't gain weight,,,
I want to loose my weight how can,,,
