Predicted,Classes,New Predicted,question_description,
Others,Others,Others,वजन को कैसे बडायें? उचित उपाय बतायें,
Body Pain,Body Pain,Body Pain,How can I get out of groin pain?,
Height,Gym,Height,How can I get muscles and height ,
General Problems,Diet and Food,Diet and Food,how I get more protein by daily foods,
Weight Gain,Weight Gain,Weight Gain,how to increase my weight can u give me the suggestion??,
Weight Loss,Weight Loss,Weight Loss,can use of lemon water every morning reduce weight?,
Blood Related,Blood Related,Others,My BP is very high and increase,
Others,Gym,Others,What we do for increasing stamina,
Others,Sexual Problem,Sexual Problem,dick ka size kaise bada kare  18 saal kai baad 9inch tak bada karne ka,
Others,Height,Height,pet ki charbi kaise km ki jaye,
Height,Height,Height,how to increase height after 18,
Others,Others,Others,dig ki height increase kese mare after 18 year,
Weight Gain,Weight Gain,Weight Gain,how to increase body weight &mass,
Others,Body Pain,Body Pain,"I have recover d from scrutiny swelling 4 month ago but again am finding it's same problem, wt to do?
",
Weight Gain,Weight Gain,Weight Gain,"how to increase weigh and body mass?
",
Others,Others,Others,muhje need adhik aati h m Kya karu,
"Ear, Nose and Throat","Ear, Nose and Throat","Ear, Nose and Throat",Thyroid problem from one month,
Height,Height,Height,Height increase kase kare after 19 years age ,
Skin,Eyes,Skin,How do we can remove our specs ?,
Diabetes,Diabetes,Diabetes,Tell me proper diet for diabetes patience,
Others,Skin,Others,"chehre par black spot hobgya hai dono taraf thik ni hota 
",
Weight Gain,Weight Gain,Weight Gain,what should I do gain weight??,
Gym,Gym,Gym,"how can fit body in one month tell about this question
",
Cold,Cold,Cold,having cough for many days...will it lead to any big disease?,
General Problems,General Problems,General Problems,does overweight causes disease,
Headache,Headache,Headache,how do I know that I have a migraine problem,
Weight Loss,General Problems,Weight Gain,does over weight  causes  disease ,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",what is the reason of liver damage?,
Others,Others,Others,"mere dat me dard h kon si dwa lu
",
Weight Gain,Weight Gain,Weight Gain,Hello sir I am jintu and I am 18 years old. I need to  increase my weight. How can I prepare for that,
Others,General Problems,Others,what are the benefits if I does the morning walk,
Weight Loss,Others,Weight Loss,मेरा जवाब दो fat कसें कम करें ,
Diabetes,Diabetes,Diabetes,which nutrition diet should be taken under diabetes?,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,"how we get physically fit? And stress releaser?
",
Weight Loss,Others,Weight Loss,Fat केसै कम करे आप बताए. प्लीज कुछ बताओ ,
General Problems,"Ear, Nose and Throat",General Problems,"hi doctor's, I have typhoid my Widal test report is positive,dr prescribed me 15 days medication: paracetamol 500/chef-O-AZ tablets two times  and a capsule once in the mid day is Protocol(vitamin,minerals,antioxident)
pls advise if it is ok to take paracetamol 500 two times/isn't too much dose or  is it ok to take  with  antibiotic or after some time gap or also should I take papaya leaf juice or papaya seeds during my 15 days medication,pls suggest as I am feeling something eating me from inside, so scared",
Others,Others,Others,mujhe bhut najla  jhukaam h me konsi tablet lu,
General Problems,General Problems,General Problems,can you drink 10 litter a day really,
"Ear, Nose and Throat","Ear, Nose and Throat","Ear, Nose and Throat",what is arthritis? How can it be cured,
Skin,Skin,Skin,how remove in face how remove in face pimples  ,
Skin,Skin,Skin,"how to remove pimples in your face
",
Skin,Eyes,Eyes,how to get rid of dark circle and lower level of eyes,
Critical,Critical,Critical,which problem to causes cancel ?,
Height,Height,Height,In which process height of my body increases? ,
Gym,Gym,Gym,How do make a strong body ¿?? ,
Skin,Skin,Skin,how we can remove skin problem,
General Problems,General Problems,General Problems,what are the problems from pollution.??and how to manage.?,
Diet and Food,Gym,Diet and Food,which exercises and which food makes the bones strong.?,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",what will happen when we eat junk food with empty stomach.?,
Gym,Gym,Gym,Which is a better way to be fit Yoga or gym workout? ,
General Problems,General Problems,General Problems,Que : How to increase the Health???,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,suffering from high depression. What should I do to minimise it??,
Others,Others,Others,"mere fence per chaya hai uskae liye medicine bateye
",
Weight Loss,Weight Loss,Weight Loss,Please give me advice for lose the weight,
Hair Treatment,Hair Treatment,Hair Treatment,I am suffering with hair lose problem. Please give me any suggestions for hair gain .,
Dental,Dental,Dental,what is the cost for teeth implantation ,
Hair Treatment,Hair Treatment,Hair Treatment,"Hi,  I'm 30 year's old and suddenly my  beard turn into white,  I went to safadarjung hospital for cure but doctor said no cure for this type of cases,  Pls anybody tell me it is true,  or pls advise what should I have to do. ",
Gym,Gym,Gym,"how I can improve my fitness? 
",
Sexual Problem,Sexual Problem,Sexual Problem,which is best Viagra no side effect ?,
Gym,Gym,Gym,How to increase the size of bicep???? ,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",Wat is the best cure for acidity? ,
General Problems,General Problems,General Problems,what is health develop of the way,
Sexual Problem,Sexual Problem,Sexual Problem,is masturbation good or bad?? pls insure me ,
Weight Loss,Weight Loss,Weight Loss,can I lose weight in a month through yoga?,
"Ear, Nose and Throat","Ear, Nose and Throat","Ear, Nose and Throat",how to remove black till on nose?,
Skin,Skin,Skin,How to remove pimples in a face,
Gym,Gym,Others,how to get a six pack abs using medicine.,
Dental,Dental,Dental,what is the best toothpaste which is useful and good to relief it if I have sensitivity in my teeth,
Skin,Eyes,Eyes,how to remove dark circle.. in near of eyes,
Skin,Skin,Skin,how to get white face without pimples,
Skin,Skin,Skin,How to get rid of pimple pores?? ,
Sexual Problem,Sexual Problem,Sexual Problem,penis not erect easily and lose soon.. ,
Sexual Problem,Sexual Problem,Sexual Problem,I am not satisfied with my current penis size and I want to increase it's length by 1 or 2 inches. Can you tell me some steps and measurements or some exercise or diet for that ?,
Sexual Problem,Sexual Problem,Sexual Problem,I WANT TO GROW MY PENIS 1 OR MAYBE 2 INCHES MORE LONGER. PLEASE TELL A WAY FOR THAT. ,
Skin,Skin,Skin,how to remove dead skin in my face ,
Blood Related,Blood Related,Blood Related,how much we pay for 1 unit blood. and that's why??,
Hair Treatment,Hair Treatment,Hair Treatment,HOW TO GROW BEARD AND MUSTACHE FASTER NATURALLY ?,
Others,Sexual Problem,Others,HOW TO GET THICKER CUM NATURALLY DURING EJACULATION ?,
Sexual Problem,Sexual Problem,Sexual Problem,How to get 1 inch longer penis in one month ? Natural and home remedies please ????,
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,smoking weed a good time to do with you are my options to settle down a bit,
Skin,Skin,Skin,How to get rid of acnes in one or two days for an event ?,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,I am a boy of lose confidence and narrow minded . I kept in tension many a times in  the daily routine. how keep our self with full of confidence ?  pls help me .,
Sexual Problem,Sexual Problem,Sexual Problem,integral period in one month two time. Why?,
Gym,Gym,Gym,why gym is not for lean people?,
General Problems,General Problems,Skin,How to keep proper Healthy Face ?,
Hair Treatment,Hair Treatment,Hair Treatment,How to get rid of dandruff. In home,
Skin,Skin,Skin,how did I glow my skin colour back to white ,
Gym,Others,Gym,मै अपनी fitness से परेसान हु ?,
Skin,Skin,Skin,How to recover acne or pimple holes on the cheeks???? ,
Skin,Skin,Skin,How to fade away the acne or pimple scars?? ,
Weight Loss,Weight Loss,Gym,how to get skinny to lean figure? ,
Others,Others,Others,फुंसी निकल रही हे मेरे कड़ी पर यही परेशानी है मेरी ,
Skin,Skin,Skin,How to remove stitches mark on face?? ,
Others,Others,Others,"मै खाता बहुत हू लेकिन शरीर नही बनता  मै पतला हू 
",
Others,Others,Others,"मैं अपने पेट के कम ही उम्र मे निकालने से और उसके अजीब बनावट को लेकर परेशान हू। मुझे लगता है कि ज्यादा वक़्त मै बैठ कर पढ़ाई करता इसी वजह से हुआ है ऐसा बनावट।
मुझे क्या करना होगा?",
Others,others,Others,म पतला जयादा हू मोटा होनै का सामादान बतये।,
General Problems,General Problems,General Problems,what is naru disease?? how can it be ,
Others,Others,Others,ಮಾಂಸಾಹರ ಸಿವಿಸದೆ ದಪ್ಪ ಆಗಲು ಏನು ಮಾಡಬೇಕು?,
Weight Gain,Weight Gain,Weight Gain,How to gain weight without eating meat?,
Others,Others,Others,मैं अपने पेट की चर्बी से परेशान हूँ ।,
Skin,Skin,Skin,"I have a skin problems with red worm and itching since 2 years .. I used some cream named penderm , ring worm but these are not effective... kindly suggest me.. what can I doo ",
Hair Treatment,Hair Treatment,Hair Treatment, how to maintains the bread growth,
Diet and Food,Weight Loss,Diet and Food,"I'm very thin 
?which diet use of me",
Skin,Skin,Skin,"my neck is black in 1month please tell me one more idea
",
"Stomach, Kidney and Liver","Stomach, Kidney and Liver",Others,Taking measure for avoid gas problems. Please provide me some solutions.,
Blood Related,Blood Related,Blood Related,what is the way by which we can purify our blood??,
Weight Loss,Weight Loss,Weight Loss,What type of exercises burn my fat in a month?,
Others,Others,Others,       amar bhison chul por6e. Ami akhon ki korbo?,
Hair Treatment,Hair Treatment,Hair Treatment,My hair is very dry. And hair fall problem ,
Skin,Skin,Skin,why my hands become dark during winter?,
Others,Others,Others,मेरा सर का बाल झड़ रहा इसे कैसे रोके इसका उपाय बताइए  ,
Hair Treatment,Hair Treatment,Hair Treatment,"my hair root is too weak . that's why hair breaks down ..

what should I do ?
",
Hair Treatment,Hair Treatment,Hair Treatment,"What to make hair more denser like Justin Bieber 
",
Skin,Skin,Skin,"I am suffering from skin disease 1month ago in my skin of legs get black black spots tell me some answers 
",
Gym,Gym,Gym,which time for exercise is better either morning or evening,
Dental,Dental,Dental,what can we do teeth is paining,
Weight Loss,Weight Loss,Weight Loss,how to lose weight while staying at hostel...,
Others,Others,Others,"तपेदित क्या है 
यह किस जिवाणु के कारण होता है
इसे कैसे बचा जा सकता है ",
Skin,Skin,Skin,how to get white skin forever?,
Others,Others,Others,मेरे को शिघर्‌ पतन की समस्या 23 आयु है मेरी ,
General Problems,General Problems,Others,why the plant have green leaves,
Skin,Skin,Skin,How can we get rid of rough skin??,
Others,Headache,Others,sir I have some mental problems ,
Diet and Food,Diet and Food,Diet and Food,"What is best protein fruits. 
Pls. Name. ",
Others,Others,Others,"इसनो पीलिया क्या होता है 
कैसे होता है 
क्यों होता 
इससे कैसे बचें",
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,"sir I m in depression .So what I can do at this situation
",
Weight Gain,Weight Gain,Weight Gain,"I am 21 year's old and my weight is only 40 kg. I am too much thin. how to increase my weight. please tell me if anyone have a bunch of knowledge about it. once again , PLEASE.",
Skin,Skin,Skin,I am having several acne and pimples on my face. How can I remove them.,
Others,Others,Others,बाल बहुत ज़्यादा झड़ रहें है  कोई उपाय ,
Hair Treatment,Hair Treatment,Hair Treatment,"hello hii... How you all dear friends 

I have a hair fall problem from past 3 Years I am so depressed by it please any one tell me how to get back my hairs.... I shall be thank to you if  you provide an suggestion please ... thankyou",
Blood Related,Blood Related,Blood Related,I am feeling low blood pressure since one year. please prescribe me some medicine.,
Hair Treatment,Sexual Problem,Hair Treatment,"is masturbation cause of hair fall?
",
Others,"Ear, Nose and Throat","Ear, Nose and Throat",I want to wash my ear myself.. what is the suitable process? please tell me Doctor sir.,
Weight Gain,Weight Gain,Weight Gain,"Hi. Am Mr, Thanveer .
My age 21. but very much of underweight .
my height 5.6.
But just weight just 45 kgs .
feeling very say in public to show my thin body. 
I want gain perfect weight in much as possible early. 
Is that is good if use protein products and muscle mass gain powders.??
which way is better way gain weight early as possible???",
Weight Loss,Weight Loss,Weight Loss,I want to lose my belly fat??,
Dental,Dental,Dental,what can we do when teeth is paining,
Weight Gain,Weight Gain,Weight Gain,how to increase fast body weight???,
Weight Gain,Weight Gain,Weight Gain,how to increase the body weight,
Others,General Problems,General Problems,My child is of 12years and it does not speak clear we had given it many medical treatments,
Height,Height,Height,my height is very less. I want to increase my height,
General Problems,General Problems,General Problems,I want to grow my health what con I do,
Hair Treatment,Hair Treatment,Hair Treatment,my problem is I am surfing from hair loss very loss pleas suggest to me how to grow my hair ,
Hair Treatment,Hair Treatment,Hair Treatment,iam 22 years old I have heavy hair fall problem... please make me some suggestions,
Weight Gain,Weight Gain,Weight Gain,how to increase the body weight,
Dental,Dental,Dental,I have getting teeth pain while  I am taking food it pains every time daily please help me how to solved ,
Diet and Food,Diet and Food,Diet and Food,what food should be taken for being healthy?,
Eyes,Eyes,Eyes,I am having eye problem my eyesight is weak I am wearing specs but now with specs I am not able to see clear pz give solution any medicine or drop,
Skin,Skin,Skin,I have skin problem since 9 months. my skin is itching so much. im very disturbed from it. I cant able to sleep whole night because of itching. ,
Hair Treatment,Hair Treatment,Hair Treatment,I have hairfall. my scalp is oily. what should I do.,
Body Pain,Body Pain,Body Pain,I am having left arm ache since 6 months. please help me to avoid this ache.,
Hair Treatment,Hair Treatment,Hair Treatment,"how to remove dandruff????
????????????????????????",
Others,Hair Treatment,Hair Treatment,my hairs are light how I can make them thicker ,
Gym,Gym,Gym,I am vary weak and thin. How can I be fat and make my fitness? ,
Weight Loss,Weight Loss,Weight Loss,my mother age 47 years old and how to lose fat weight is 85 kg,
Gym,Gym,Gym,What are importance of exercise ?,
Skin,Skin,Skin,how to get rid from blackheads of face,
Body Pain,Body Pain,Body Pain,I have tail bone pain??? how to cure,
General Problems,General Problems,General Problems,diabetic k liye kya side affects h,
Others,Others,Others,मै बहुत कम्जोर हु ओजन बढाने का कोइ उपाए है।,
Others,Sexual Problem,Sexual Problem,what is reproduction of sexual,
Hair Treatment,Hair Treatment,Hair Treatment,I am 20 years old and I get hair fall from my forehead side .please I need advice to stop my hair fall.,
Gym,Gym,Gym,How to maintain fitness of body ?,
Skin,Skin,Skin,"best cream to remove scars and spots from face...
",
Diet and Food,Diet and Food,Others,Mera vajan bahoot kam hai mera diet plan kua hona chahiye,
Others,Others,Others,mera age 19 years hai mera body me bajan hai height aur age ke anusar kiya kare bataiye,
Others,Others,Others,"my 12 years old brother was toilet in bed what is the reason and from what I stop this
",
Others,Others,Others,"Mere Kai Dino Se Khasi ho rahi hai konsi syrup lu 
Jo Ek din main thik Ho Jaye",
Others,Others,Others,मेरा वजन बहुत है। मुजे कम करने के लिए कया करना जाहिये?,
Skin,Skin,Skin,sir I have got pimples on my face and they automatically disappears and then again they got on my face,
Hair Treatment,Hair Treatment,Hair Treatment,I am 15 years old and my hairs are white what is the reason and how to do black hair,
Others,Gym,Others,how I can increases my stamina ,
General Problems,General Problems,General Problems,getting snoring during sleep.... what is the solution,
Weight Loss,Weight Loss,Weight Loss,how to lose fat and fit myself,
Eyes,Eyes,Eyes,how can I do white under my eye,
Cold,Cold,Cold,"I am suffering from cold, body pains ",
Skin,Skin,Skin,how to clean face from pimples??,
Skin,Skin,Skin,How get recover holes caused due to acne or pimples??? ,
Skin,Skin,Skin,Wat do to lighten acne scars..... ,
Diabetes,Diabetes,Diabetes,how want to control the sugar ,
Others,General Problems,General Problems,if a person take English medicine nd suddenly he take ayurvedic medicine... it's is side effects from it?? ,
Hair Treatment,Hair Treatment,Hair Treatment,can premature grey hair be cured?,
Hair Treatment,Hair Treatment,Hair Treatment,can premature grey hair be cured?,
Hair Treatment,Hair Treatment,Hair Treatment,I am 21.. Still I have a very little hair in my face (barely visible).. But under daylight I can see their presence.. How to stimulate the growth of my facial hair? ,
Others,Diet and Food,Others,what if we use unrefined cold pressed oil instead of refined sunflower oil for cooking?,
Others,Others,Others,ஒயரமாக வலர என்ன செய்யட்டும் என்ன சாப்பாடு  ,
Others,Others,Others,ஒயரமாக வலர என்ன செய்யட்டும் என்ன சாப்பாடு  ,
Diet and Food,Diet and Food,Diet and Food,what should I do for fitness and and what type of food I eat ,
Others,Others,Others, தடிமன் ஆவதற்கு என்ன செய்யட்டும் ,
Cold,Cold,Cold,I have a fever...what I want to do,
Weight Loss,Weight Loss,Weight Loss,Reduce belly how they to reflect that ,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",right side kidney 2 pathri  3mm or 3.5 mm ki nikalenge k leyee advice dejeyee.,
General Problems,General Problems,General Problems,what is the health develop way,
Others,Others,Others,నాకు మొటిమలు వు‌‌‌న్నయి.వాటిని ఎలా తగ్గించాలి.,
General Problems,General Problems,General Problems,Who is the India biggest hospital ,
Skin,Skin,Skin,Mere face pr pimples he us ko kse hataee,
Diet and Food,Diet and Food,Diet and Food,Which food can make me fat....? ,
Hair Treatment,Hair Treatment,Hair Treatment,what are the best ways or treatment for hair loss?,
Gym,Gym,Gym,What is the use of this app and can I use for our body fitness,
Stress and Anxiety,Stress and Anxiety,General Problems,I am feeling very stressed how can I overcome from this problem please help me... ,
Critical,Critical,Critical,"To questions

1. My relative is too old approximately 69+, she is suffering from urinary problem. She is unable to control urine, on the way to bathroom it happens in middle. What we can do?

2. Also she is feeling drowsy and not eating food, saying it's kind of vomiting and she doesn't like that. My problem is energize her, suggest what good food she can eat as she is also having B.P?",
Sexual Problem,Sexual Problem,Sexual Problem,what type of food we taken during pregnancy ,
Gym,Gym,Weight Gain,how can I increase my strength ?,
Dental,Dental,Dental,how can I remove my tooth plaque at home?,
Gym,Gym,Gym,I want solution for Fit Body.?,
Weight Gain,Gym,Weight Gain,    How can increase my stamina?,
Stress and Anxiety,Stress and Anxiety,Others,my mind is very loos.... how can growth my mind power,
Weight Loss,Weight Loss,Weight Loss,how to lose my fat? how to get my great personality?,
General Problems,General Problems,General Problems,how much water should we drink daily?,
Weight Loss,Weight Loss,Weight Loss,what can I do for reducing body fat ??,
Dental,Dental,Dental,My teeth not white how can my teeth white ,
Others,Gym,Others,How I can increases my stamina ,
Gym,Gym,Gym,How to exercise for good health ,
Weight Loss,Weight Loss,Weight Loss,How can I my reduce belly fat?,
Height,Height,Height,how to grow height at the age of 19 for girls naturally?,
Body Pain,Body Pain,Body Pain,what should we do during back pain?,
Skin,Skin,Skin,what we need to glow our skin ,
Others,Others,Others,बुखार के लिए सबसे अच्छी दवाई कौन सी है,
Others,Others,Others,  আমার বাম হাত টা মাঝে মাঝে অবস হয়ে যায় মুঠো করলেও বুঝতে পারি না। প্রতিকার বলবেন,
Skin,Skin,Skin,"a dark circle on the my face what's a solution 
",
Eyes,Eyes,Eyes,There are some small dark spot on my eye side. What is the solution?? ,
General Problems,Diabetes,Diabetes,what are the healthy foods for diabetics patient,
General Problems,General Problems,General Problems,heart disease me bare me bataei,
Weight Loss,Weight Loss,Weight Loss,how can I lose my weight fast,
Skin,Skin,Skin,"My friend have many pimples on her face and she take many doctors advice but not get any impressive result, so help me for cure her skin?",
Hair Treatment,Hair Treatment,Hair Treatment, my hair loss rapidly  what's treatment you says,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",sir I have  gas problem.....so which medicine I will take,
Skin,Skin,Skin,"black spot nd blackness in my mouth 
what I do",
General Problems,General Problems,General Problems,"how I improve my health ?my health begins to fatty 
",
Skin,Eyes,Eyes,dark circles below my eyes. what to do,
Weight Loss,Diet and Food,Weight Loss,What are the best foods to burn belly fat?,
Skin,Skin,Skin,acne reason of upper neck below the ears area? ,
Gym,Gym,Gym,sir I have going to make my body fit can you give me some advise please,
Hair Treatment,Hair Treatment,Hair Treatment,why what reason hairfall occur,
Gym,Gym,"Stomach, Kidney and Liver","sir, if heavily do exercises there is any problem?",
Weight Gain,Weight Gain,Weight Gain,I want to gain my weight. Please help me.. ,
Sexual Problem,Sexual Problem,Sexual Problem,how can I deny my masturbation,
Others,Diet and Food,Diet and Food,"mera pet nikalne laga h 
bataiye mujhe kitna food khau mai ek din me
",
Height,Height,Height,I want to increase my height and you tell me the ways which are useful to increase height?,
Headache,Headache,Headache,sir I am frequently suffering from headache is there any  medicine,
Gym,Gym,Gym,my best yoga is a lovely anulom bilom,
Body Pain,Critical,Critical,I had two femur surgeries for my right leg in gap of 2 months and leg became week and after 2months later of my second surgery now will sciatica pain  effects.,
Skin,Skin,Skin,what we need to glove our skin,
Body Pain,Body Pain,Others,I have a backache while bending.so I am not able to bend down. Please suggest.,
Weight Gain,Weight Gain,Weight Gain,how can I gain my weight with proper diet,
Diet and Food,Diet and Food,Others,how to get fatty without proper diet,
Height,Height,Height,kya aap mujhe bata sakte h ki m apni height kaise badhaun ???,
Dental,Dental,Dental,every week I get mouth ulcer ,
Hair Treatment,Hair Treatment,Hair Treatment,how can I get a dandruff free healthy scalp?,
Weight Loss,Weight Loss,Weight Loss,how can I lose weight without excess work out?,
General Problems,General Problems,General Problems,health barrage keep like kya kiya jay,
Hair Treatment,Hair Treatment,Hair Treatment,"how to increase the hair growth
",
Weight Loss,Weight Loss,Weight Loss,How to lose weight even in diet?,
General Problems,General Problems,General Problems,How I feel better when I was sick ,
Weight Gain,Weight Gain,Weight Gain,how can I gain our weight and any nutrition food or particular food for weight gaining,
Diet and Food,Diet and Food,Diet and Food,What Kind of food shall me Take to be healthy ?,
General Problems,General Problems,General Problems,I have snoring problem how could I control it,
Skin,Skin,Skin,sir I have a problem in my skin. mere thumb ki skin automatically       ,
General Problems,General Problems,General Problems,"sir I have some problem in shoulder. What should I do?
",
Diet and Food,Diet and Food,Diet and Food,what food we have to take for health,
Others,General Problems,General Problems,"Hello Doctor
Few days ago I seen something down on the waist that something is from the inside is get up there in the circle form.
Its is just near and up on my public part.",
Gym,Gym,Gym,anulom bilom is a best and lovely yoga,
Hair Treatment,Hair Treatment,Hair Treatment,sir hairs white ho rahe h .. koi treatment h ya kuch jis se ki black ho sake,
Others,Others,Others,Hello sir please you permission to write me,
Sexual Problem,Sexual Problem,Sexual Problem,inaugural period in one month two time why? pls tell me.,
Gym,Gym,Gym,"mere body  ki
growths  nahi ho rahi  hi ",
General Problems,General Problems,General Problems,sir Ian not Abel to say in health pi's help,
Gym,Gym,Gym,anulom bilom is a very lovely yoga,
General Problems,General Problems,General Problems,my mouth is smell what can I do? I daily brush 2 times morning and evening,
General Problems,General Problems,General Problems,how to get quality sleep in less time? ,
Gym,Gym,Gym,how to increase our physical fitness ,
"Ear, Nose and Throat","Ear, Nose and Throat","Ear, Nose and Throat",What is the solution for sore throat? ,
Weight Gain,Weight Gain,Weight Gain,"I am 20 years old boy but my weight is so low and body growth is at low process.
Tell me what should I do to grow up my body....",
Others,Others,Others,mera Lund se cum nhi aate...?,
General Problems,General Problems,General Problems,How to increase our brain IQ ?,
Headache,Headache,Headache,what we can do for migraine problem any sort of measures will be appriciatable,
Body Pain,Body Pain,Body Pain,"ungleyo may pain kes vjah say hota h 
",
Others,Others,Others,mera land khada nhi hota h kya kru pls replay ,
Blood Related,Blood Related,Blood Related,is that dangerous to eat oily foods who is having high BP????,
Others,Others,Others,how to verification of email id,
Others,Others,Others,mera gala hameysha sukh Jatihai. eska ellage batiye pls reply me. ,
Cold,Cold,Cold,I am suffering from fever help me.,
Others,Others,Others,wнaт wιll ι do ғor ѕтoмacнacнe,
Weight Gain,Weight Gain,Weight Gain,How do I gain weight? my weight is too low for my age. I am 21 years old and I am 47kgs. My appetite is too low. I get full when I eat little. I can't eat more. What is wrong with me?,
Critical,Critical,Critical,how to fix slip disk problem at l5 s1,
Hair Treatment,Hair Treatment,Hair Treatment,How Can I Make my hair more healthy???,
Gym,Gym,Gym,How Can I Get a Fit N Healthy Body ,
Body Pain,Body Pain,Body Pain,"I ll do my workout I get body pain 
what will I do get relief form body pain",
Gym,Gym,Gym,iam not becoming fit body why??,
Diet and Food,Gym,Gym,what is the benefit of fitness?,
Others,Others,Others,मेरे रोजना सर में दरद होता है इसका। इलाज बताओ ,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",I am suffering with gas problem please help me?,
Others,Others,Others,मेरे भाई को नींद नही आती हेय उसका इस कारद से बहुत दिमाग खारब रहता हेय कोई उचित उपाय बताऐए ,
Weight Gain,Weight Gain,Weight Gain,"how to gain my wait
I want to gain",
Weight Loss,Weight Loss,Weight Loss,"How can I decrease my fat level?
",
Weight Loss,Weight Gain,Weight Gain,what can I do for build up my weight?,
Body Pain,Body Pain,Body Pain,my legs getting pain while sitting with in a short time,
Weight Loss,Weight Loss,Weight Loss,"how can decrease my fat ? 
kya karu bataiye",
Cold,Cold,Cold,how to control  fever please help ,
Headache,Headache,Headache,My headache rising at 2:00 pm daily ..what should I do,
General Problems,Diet and Food,Diet and Food,What is iron tablet nd how it works in human body???,
Others,Eyes,Eyes,"about squint eyes how to treat them
",
Headache,Headache,Headache,"hey, whenever I have fever or headache I start seeing blurry. do some one knows about it. ",
Dental,Dental,Others,my gums are bleeding while brushing. Please advice me the remedy.,
Skin,Skin,Skin,how to make my skin more brighter?,
General Problems,General Problems,General Problems,"what is the symptoms of milk allergy?
",
Gym,Gym,Gym,how to build the body answer me shortly,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,how to control. sleep and fitness...  I don't do any hard work but am tired.  am very feel lazy. what can I do? ,
Gym,Gym,Gym,How to make a lean abs or body ?,
Hair Treatment,Hair Treatment,Hair Treatment,"how to improve beautiful hair?
",
Weight Loss,Weight Gain,Others,how I can do for increasing my fat??,
Gym,gym,Gym,I'm continuing gym previous 4 months ago... but no improve I can found in my body. Can I know the reason sir ?,
Sexual Problem,Sexual Problem,Sexual Problem,how many times in a Day doing masturbation?,
Weight Gain,Weight Gain,Weight Gain,please Tellme how to gain weight??,
Skin,Skin,Skin,"why are  rashes in our skin????
",
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,"smoking is really bad for health
",
Sexual Problem,Sexual Problem,Sexual Problem,How to do safe sex without using condom?,
Skin,Skin,Skin,I have acne on my face from past 2 year and I consulted two doctors but no result found and now I am using patanjali aloe Vera gel than also no result on my face please give me a solution to decrease my acne and have a clear face. ,
Headache,Headache,Headache,headache very much during potty,
General Problems,General Problems,General Problems,"please say to me why do I feet our body..
please say to me",
General Problems,Gym,Gym,"what I can my body solid.
please reply me please
",
Body Pain,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",I am getting stomach pain when lift some weight  why? ,
Headache,Headache,Headache,I have head ache after workout why? and what should I do,
Weight Loss,Weight Loss,Weight Loss,how can I decrease belly fat without going to gym,
General Problems,Diet and Food,Others,what is the procedure and foods for developing body ?,
Weight Loss,Weight Loss,Weight Loss,How can I lose weight and control mt diet,
Cold,Cold,Cold,what is best medicine in cold ,
Weight Loss,Weight Loss,Weight Loss,How can I lose my weight in one month,
Eyes,Eyes,Eyes,My eye sight is very weak what I do? ,
Cold,Cold,Cold,I have some fever from tomorrow?,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",I have gas trable whenever junk food,
Weight Gain,Weight Gain,Weight Gain,"I am 29, I want to gain weight",
Body Pain,Body Pain,Body Pain,what is best medicine for back pain?,
Headache,Headache,Headache,What to do when too much headache?,
Headache,Headache,Headache,what to do when their is a too much headache,
Gym,Gym,Gym,which supplement use during gym for good health? ,
General Problems,General Problems,General Problems,how can u be energetic all through day,
Others,"Stomach, Kidney and Liver",Others,what are the symptoms of diarrhoea,
Sexual Problem,Sexual Problem,Sexual Problem,how take a esp. dose to avoid pregnancy because of unprotected sex?,
Headache,Headache,Headache,How to reduce headache when you working behind computer? ,
Gym,Gym,Gym,which supplement use during gym for good health,
"Ear, Nose and Throat","Ear, Nose and Throat","Ear, Nose and Throat","what is arthritis??
how can it be cured?",
Diet and Food,Diet and Food,Diet and Food,what should we eat after the gyming session ? ,
Weight Gain,Weight Gain,General Problems,"How can I gain my health, I am so thin, ",
Weight Loss,Weight Loss,Weight Loss,how to decrease my wait bcoz I' m too fat,
Headache,Headache,Headache,half head ache. what to do??? ,
Dental,Dental,Dental,how to clean teeth without toothbrush and denialist . by natural and artificial method,
Headache,Headache,Headache,"headache problem, my head pains every week, why it's so?",
General Problems,General Problems,General Problems,what to do for stay always healthy ?,
Eyes,Eyes,Eyes,how to remove dark circles of eye?,
